"place_name","latitude","longitude"
"East Toronto (The Danforth East)","43.6872","-79.3368"
"Central Toronto (Davisville North)","43.7135","-79.3887"
"East Toronto (The Beaches)","43.6784","-79.2941"
"East Toronto (India Bazaar / The Beaches West)","43.6693","-79.3155"
"Downtown Toronto (Central Bay Street)","43.6564","-79.386"
"Central Toronto (Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park)","43.6861","-79.4025"
"Downtown Toronto (Ryerson)","43.6572","-79.3783"
"Downtown Toronto (Rosedale)","43.6827","-79.373"
"East Toronto (The Danforth West / Riverdale)","43.6803","-79.3538"
"Central Toronto (Lawrence Park East)","43.7301","-79.3935"
"Downtown Toronto (Harbourfront East / Union Station / Toronto Island)","43.623","-79.3936"
"Downsview East (CFB Toronto)","43.739","-79.4692"
"Central Toronto (Davisville)","43.702","-79.3853"
"East Toronto (Studio District)","43.6561","-79.3406"
"Central Toronto (North Toronto West)","43.7143","-79.4065"
"Downtown Toronto (Church and Wellesley)","43.6656","-79.383"
"Downtown Toronto (St. James Park)","43.6513","-79.3756"
"Central Toronto (Roselawn)","43.7113","-79.4195"
"Central Toronto (Forest Hill North & West)","43.6966","-79.412"
"Central Toronto (Moore Park / Summerhill East)","43.6899","-79.3853"
"Downtown Toronto (Regent Park / Port of Toronto)","43.6555","-79.3626"
"Downtown Toronto (Toronto Dominion Centre / Design Exchange)","43.6469","-79.3823"
"Downtown Toronto (University of Toronto / Harbord)","43.6629","-79.3987"
"Central Toronto (The Annex / North Midtown / Yorkville)","43.6736","-79.4035"
"Downtown Toronto (Commerce Court / Victoria Hotel)","43.6492","-79.3823"
"Downtown Toronto (St. James Town / Cabbagetown)","43.6684","-79.3689"
"Downtown Toronto (Kensington Market / Chinatown / Grange Park)","43.6541","-79.3978"
"Downtown Toronto (Berczy Park)","43.6456","-79.3754"
"Downtown Toronto (Richmond / Adelaide / King)","43.6496","-79.3833"
"Downtown Toronto (CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / YTZ)","43.6404","-79.3995"
"Downtown Toronto Stn A PO Boxes 25 The Esplanade (Enclave of M5E)","43.6437","-79.3787"
"Downtown Toronto (Christie)","43.6683","-79.4205"
"West Toronto (Parkdale / Roncesvalles Village)","43.6469","-79.4521"
"West Toronto (Rua A_ores / Trinity)","43.648","-79.4177"
"West Toronto (Dufferin / Dovercourt Village)","43.6655","-79.4378"
"West Toronto (Brockton / Parkdale Village / Exhibition Place)","43.6383","-79.4301"
"East Toronto Business Reply Mail Processing Centre 969 Eastern (Enclave of M4L)","43.7804","-79.2505"
"Downtown Toronto (Underground city)","43.6492","-79.3823"
"West Toronto (Bloor West Village / Swansea)","43.6512","-79.4828"
"Etobicoke (New Toronto / Mimico South / Humber Bay Shores)","43.6075","-79.5013"
"West Toronto (High Park / The Junction South)","43.6605","-79.4633"
"Scarborough (Eglinton)","43.7464","-79.2323"
"Scarborough (Dorset Park / Wexford Heights / Scarborough Town Centre)","43.7612","-79.2707"
"Downsview Central","43.7319","-79.4928"
"Scarborough (Guildwood / Morningside / Ellesmere)","43.7678","-79.1866"
"Scarborough (Malvern / Rouge River)","43.8113","-79.193"
"North York (York Mills West)","43.75","-79.3978"
"Scarborough (Steeles West / L'Amoreaux West)","43.8016","-79.3216"
"Scarborough (Rouge Hill / Port Union / Highland Creek)","43.7878","-79.1564"
"North York (Hillcrest Village)","43.8015","-79.3577"
"Scarborough (Woburn)","43.7712","-79.2144"
"Scarborough (The Golden Mile / Clairlea / Oakridge / Birchmount Park East)","43.7122","-79.2843"
"North York (Jane and Finch)","43.7568","-79.521"
"Scarborough (Kennedy Park / Ionview / East Birchmount Park)","43.7298","-79.2639"
"North York (Bayview Village)","43.7797","-79.3813"
"Scarborough (Cedarbrae)","43.7686","-79.2389"
"Scarborough (Cliffside / Cliffcrest / Scarborough Village West)","43.7247","-79.2312"
"Scarborough (Agincourt)","43.7946","-79.2644"
"North York (York Mills / Silver Hills)","43.7547","-79.3764"
"Scarborough (Milliken / Agincourt North / Steeles East / L'Amoreaux East)","43.8177","-79.2819"
"Willowdale West","43.7786","-79.445"
"East York (Parkview Hill / Woodbine Gardens)","43.7063","-79.3094"
"Don Mills South (Flemingdon Park)","43.7334","-79.3329"
"North York (York Heights / Victoria Village / Parkway East)","43.7545","-79.33"
"Scarborough (Birch Cliff / Cliffside West)","43.6952","-79.2646"
"Scarborough (Clarks Corners / Tam O'Shanter / Sullivan)","43.7812","-79.3036"
"Scarborough (Wexford / Maryvale)","43.7507","-79.3003"
"Scarborough (Upper Rouge)","43.834","-79.2069"
"Downsview West","43.7334","-79.5116"
"Willowdale East (Newtonbrook)","43.7915","-79.4103"
"Willowdale South","43.7673","-79.4111"
"Don Mills North","43.745","-79.359"
"North York (Fairview / Henry Farm / Oriole)","43.7801","-79.3479"
"North York (Northwood Park / York University)","43.7694","-79.4921"
"North York (Lawrence Manor / Lawrence Heights)","43.7223","-79.4504"
"East York (Leaside)","43.7124","-79.3644"
"York (Cedarvale)","43.6915","-79.4307"
"North York (Sweeney Park / Wigmore Park)","43.7276","-79.3148"
"East York (Woodbine Heights)","43.6913","-79.3116"
"North York (Humberlea / Emery)","43.7366","-79.5401"
"York (Fairbank / Oakwood)","43.6889","-79.4507"
"York (Runnymede / The Junction North)","43.6748","-79.4839"
"North York (Armour Heights / Wilson Heights / Downsview North)","43.7535","-79.4472"
"East York (Thorncliffe Park)","43.7059","-79.3464"
"Etobicoke (Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West)","43.6256","-79.5231"
"North York (Humber Summit)","43.7598","-79.5565"
"Etobicoke (Alderwood / Long Branch)","43.6021","-79.5402"
"Etobicoke (Old Mill South / King's Mill Park / Sunnylea / Humber Bay / Mimico NE / The Queensway East / Royal York South East / Kingsway Park South East)","43.6325","-79.4939"
"North York (Bedford Park / Lawrence Park West / Lawrence Manor East)","43.7335","-79.4177"
"Etobicoke (Islington Avenue)","43.6662","-79.5282"
"York (Del Ray / Keelsdale / Mount Dennis / Silverthorne)","43.6934","-79.4857"
"Queen's Park Ontario Provincial Government","43.6641","-79.3889"
"Etobicoke (South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens)","43.7432","-79.5876"
"Weston","43.7068","-79.517"
"Etobicoke (West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale)","43.6505","-79.5517"
"North York (North Park / Maple Leaf Park / Upwood Park)","43.7137","-79.4869"
"North York (Glencairn)","43.7081","-79.4479"
"Etobicoke (The Kingsway / Montgomery Road / Old Mill North)","43.6518","-79.5076"
"Etobicoke (Westmount)","43.6949","-79.5323"
"Etobicoke (Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Woods)","43.6437","-79.5767"
"Etobicoke (Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens)","43.6898","-79.5582"
"Etobicoke Northwest (Clairville / Humberwood / Woodbine Downs / West Humber / Kipling Heights / Rexdale / Elms / Tandridge / Old Rexdale)","43.7144","-79.5909"